name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
recdrop_0.2,16,0,0.3,0.2,0.0,10,32,0.001,adam,mse,16,10,0.017960762910305537,0.012143584248077323,-0.03982133560104506,0.4874274661508704,3089,0.9484524130821228,0.4590829610824585,20.145269632339478,1d
recdrop_0.3,16,0,0.3,0.3,0.0,10,32,0.001,adam,mse,23,10,0.01784862922656888,0.01226552943826236,-0.02687811948746699,0.49709864603481624,3089,0.906791090965271,0.44314897060394287,25.449557304382324,1d
l2_1e-05,16,0,0.3,0.0,1e-05,10,32,0.001,adam,mse,22,10,0.017796129864392295,0.012204037406022262,-0.020846153622827934,0.5125725338491296,3089,0.9127613306045532,0.460355281829834,18.838467121124268,1d
l2_1e-04,16,0,0.3,0.0,0.0001,10,32,0.001,adam,mse,23,10,0.01805557082850356,0.01222269493376334,-0.05082793795513374,0.5087040618955513,3089,0.9136248826980591,0.43436363339424133,20.81338119506836,1d
l2_1e-03,16,0,0.3,0.0,0.001,10,32,0.001,adam,mse,19,10,0.018036219254370715,0.01233998470327001,-0.048576635292608694,0.49709864603481624,3089,0.9542661309242249,0.4871020019054413,17.00696039199829,1d
batch_8,16,0,0.3,0.0,0.0,10,8,0.001,adam,mse,11,10,0.017712155427213945,0.012045665787997064,-0.011234768787946825,0.5125725338491296,3089,0.9144821763038635,0.44087135791778564,24.085092067718506,1d
batch_16,16,0,0.3,0.0,0.0,10,16,0.001,adam,mse,15,10,0.017814646130378996,0.011951161302767034,-0.022971569950293924,0.5203094777562862,3089,0.886095404624939,0.44029438495635986,20.8776433467865,1d
batch_64,16,0,0.3,0.0,0.0,10,64,0.001,adam,mse,21,10,0.017693023142398782,0.011752279787841623,-0.00905132110292084,0.5377176015473888,3089,0.8974766731262207,0.4426004886627197,13.399502038955688,1d
batch_128,16,0,0.3,0.0,0.0,10,128,0.001,adam,mse,21,10,0.018033594362675726,0.012301723866083317,-0.04827144940213213,0.5222437137330754,3089,0.9364141225814819,0.43807506561279297,11.332525253295898,1d
lr_1e-04,16,0,0.3,0.0,0.0,10,32,0.0001,adam,mse,61,10,0.017628684751872955,0.011852328570872303,-0.0017260947125770087,0.47775628626692457,3089,0.9773368835449219,0.44437143206596375,44.17885112762451,1d
lr_5e-04,16,0,0.3,0.0,0.0,10,32,0.0005,adam,mse,25,10,0.01795792768280929,0.012406711272977506,-0.03949307589787976,0.4816247582205029,3089,0.9235368967056274,0.46769285202026367,20.94590950012207,1d
lr_5e-03,16,0,0.3,0.0,0.0,10,32,0.005,adam,mse,11,10,0.01818771774799813,0.012257211906979384,-0.06626603635998363,0.4932301740812379,3089,0.9015147089958191,0.447519987821579,11.750092267990112,1d
opt_rmsprop,16,0,0.3,0.0,0.0,10,32,0.001,rmsprop,mse,22,10,0.017741726700400577,0.011986851040992903,-0.014614195122965468,0.5164410058027079,3089,0.915918231010437,0.45568349957466125,19.192243814468384,1d
